Fibonacci recursivo             Fibonacci iterativo             Tiempo Teorico

f(1) = 1 T = 1700.0ns          f(1) = 1 T = 2600.0ns.               24
f(2) = 2 T = 800.0ns          f(2) = 2 T = 700.0ns.               32
f(3) = 3 T = 400.0ns          f(3) = 3 T = 400.0ns.               40
f(4) = 5 T = 600.0ns          f(4) = 5 T = 400.0ns.               48
f(5) = 8 T = 700.0ns          f(5) = 8 T = 300.0ns.               56
f(6) = 13 T = 900.0ns          f(6) = 13 T = 500.0ns.               64
f(7) = 21 T = 1500.0ns          f(7) = 21 T = 500.0ns.               72
f(8) = 34 T = 2800.0ns          f(8) = 34 T = 500.0ns.               80
f(9) = 55 T = 4000.0ns          f(9) = 55 T = 500.0ns.               88
f(10) = 89 T = 5900.0ns          f(10) = 89 T = 600.0ns.               96
f(11) = 144 T = 12000.0ns          f(11) = 144 T = 500.0ns.               104
f(12) = 233 T = 14900.0ns          f(12) = 233 T = 600.0ns.               112
f(13) = 377 T = 23900.0ns          f(13) = 377 T = 600.0ns.               120
f(14) = 610 T = 37900.0ns          f(14) = 610 T = 600.0ns.               128
f(15) = 987 T = 61600.0ns          f(15) = 987 T = 600.0ns.               136
f(16) = 1597 T = 95000.0ns          f(16) = 1597 T = 600.0ns.               144
f(17) = 2584 T = 39600.0ns          f(17) = 2584 T = 700.0ns.               152
f(18) = 4181 T = 28000.0ns          f(18) = 4181 T = 600.0ns.               160
f(19) = 6765 T = 45000.0ns          f(19) = 6765 T = 600.0ns.               168
f(20) = 10946 T = 72100.0ns          f(20) = 10946 T = 700.0ns.               176
f(21) = 17711 T = 116500.0ns          f(21) = 17711 T = 700.0ns.               184
f(22) = 28657 T = 186900.0ns          f(22) = 28657 T = 700.0ns.               192
f(23) = 46368 T = 304700.0ns          f(23) = 46368 T = 800.0ns.               200
f(24) = 75025 T = 496400.0ns          f(24) = 75025 T = 800.0ns.               208
f(25) = 121393 T = 799200.0ns          f(25) = 121393 T = 800.0ns.               216
f(26) = 196418 T = 1517600.0ns          f(26) = 196418 T = 900.0ns.               224
f(27) = 317811 T = 815400.0ns          f(27) = 317811 T = 800.0ns.               232
f(28) = 514229 T = 1484700.0ns          f(28) = 514229 T = 1100.0ns.               240
f(29) = 832040 T = 2169800.0ns          f(29) = 832040 T = 900.0ns.               248
f(30) = 1346269 T = 3475800.0ns          f(30) = 1346269 T = 1000.0ns.               256
Tiempo recursivo promedio en ns: 393876.6666666667
Tiempo iterativo promedio en ns: 720.0
